run_id,run_name,class1,class2,class3,artifact_name,val_loss
jqxs72e5,toasty-sky-68,red_wolf,pick,ibizan_hound,H3Yg8fBJjDigtr5Y3JanNb_18.pth,0.3831528425216675
jqxs72e5,toasty-sky-68,red_wolf,pick,ibizan_hound,H3Yg8fBJjDigtr5Y3JanNb_100.pth,0.188417911529541
szj4msba,clear-dragon-69,mashed_potato,vacuum,breakwater,nYdfNnbBJ3X7fMZrpf3BfR_16.pth,1.659422516822815
szj4msba,clear-dragon-69,mashed_potato,vacuum,breakwater,nYdfNnbBJ3X7fMZrpf3BfR_94.pth,1.648184895515442
b2mqkh26,warm-planet-70,sewing_machine,limpkin,chambered_nautilus,aiqzb6wnC2HbnAoy7chNHL_21.pth,1.8492910861968996
b2mqkh26,warm-planet-70,sewing_machine,limpkin,chambered_nautilus,aiqzb6wnC2HbnAoy7chNHL_109.pth,0.6471464037895203
at5v8qrp,robust-gorge-71,mud_turtle,black_and_gold_garden_spider,police_van,K79fdmtEY7WMHCTFsGPUr5_19.pth,0.1445428878068924
at5v8qrp,robust-gorge-71,mud_turtle,black_and_gold_garden_spider,police_van,K79fdmtEY7WMHCTFsGPUr5_81.pth,0.1449181884527206
88xvwasc,hardy-puddle-72,mixing_bowl,carpenter's_kit,lesser_panda,2V2fGGLGpKqsmuAujYRpre_16.pth,1.4900641441345217
88xvwasc,hardy-puddle-72,mixing_bowl,carpenter's_kit,lesser_panda,2V2fGGLGpKqsmuAujYRpre_108.pth,0.5994749069213867
9hzk1r7s,happy-frost-73,crash_helmet,paddle,angora,GYsnZfPrPHQBnGQqtYvehZ_14.pth,0.5805052518844604
9hzk1r7s,happy-frost-73,crash_helmet,paddle,angora,GYsnZfPrPHQBnGQqtYvehZ_86.pth,1.2071959972381592
g7zdpa53,legendary-serenity-74,dock,ruddy_turnstone,trombone,fcwW4LWUJ2pneVVcKTfc3g_16.pth,0.4838685989379883
g7zdpa53,legendary-serenity-74,dock,ruddy_turnstone,trombone,fcwW4LWUJ2pneVVcKTfc3g_109.pth,0.4735431671142578
k8nlq812,azure-armadillo-75,police_van,wire-haired_fox_terrier,schooner,fUKzroT9SY6NpoHdgmHrsk_18.pth,0.3791002929210663
k8nlq812,azure-armadillo-75,police_van,wire-haired_fox_terrier,schooner,fUKzroT9SY6NpoHdgmHrsk_97.pth,0.3411403596401214
6czsobz2,bumbling-bush-76,bolete,maillot,acoustic_guitar,QNN8wDiTtCew6xqocaPVKJ_16.pth,0.4348603785037994
6czsobz2,bumbling-bush-76,bolete,maillot,acoustic_guitar,QNN8wDiTtCew6xqocaPVKJ_94.pth,0.5293356776237488
0y0j8j9j,stoic-vortex-77,borzoi,siamese_cat,indigo_bunting,QTbC4jS2bj5Bfi8x4bPcGx_14.pth,0.1499131917953491
0y0j8j9j,stoic-vortex-77,borzoi,siamese_cat,indigo_bunting,QTbC4jS2bj5Bfi8x4bPcGx_86.pth,0.2196830064058304
twi0y54g,dauntless-puddle-78,proboscis_monkey,geyser,shower_cap,dBFaq4KAT95487iASSonQ4_18.pth,0.3900606334209442
twi0y54g,dauntless-puddle-78,proboscis_monkey,geyser,shower_cap,dBFaq4KAT95487iASSonQ4_94.pth,0.337485522031784
s7tr7wpi,super-moon-79,bassoon,crayfish,minivan,WwMHGzpazLX7G7rLh6f9c7_23.pth,0.5631135702133179
