Name,ID,data.classes,seed,optimizer_name,epoch,training.early_epoch,training.max_epoch,val_accuracy,val_loss,calculated_mean,calculated_std,artifacts
supernatural-ripple-1202,s6fpzjsr,"[appenzeller,lesser_panda,mixing_bowl]",995,SGD,27,16,28,0.8642857074737549,0.6119984984397888,"[0.47630774974823, 0.45546847581863403, 0.38937821984291077]","[0.2781126797199249, 0.2739557921886444, 0.27842777967453003]","['DhUVmTLRezLbnoSshESMUV_15.pth', 'DhUVmTLRezLbnoSshESMUV_28.pth']"
shadowed-crypt-1201,9jt93qky,"[vizsla,tow_truck,canoe]",4297,Adam,43,10,44,0.8392857313156128,0.8241060376167297,"[0.4835631549358368, 0.4579368531703949, 0.4028685390949249]","[0.2562715411186218, 0.2505507469177246, 0.2696620225906372]","['eC7C5VC3Gn5xAczhJbKhB8_9.pth', 'eC7C5VC3Gn5xAczhJbKhB8_44.pth']"
creepy-disguise-1200,1ftv6882,"[vacuum,pug,barn_spider]",161,Adam,43,13,44,0.732876718044281,1.2475723028182983,"[0.538863480091095, 0.5137821435928345, 0.47551384568214417]","[0.3124581277370453, 0.3113939166069031, 0.3238269090652466]","['WRQGZK2z2WgdChdDU5cBkd_12.pth', 'WRQGZK2z2WgdChdDU5cBkd_44.pth']"
paranormal-mummy-1199,45szpzrd,"[american_lobster,vacuum,black_and_gold_garden_spider]",5675,Adam,19,15,20,0.8763157725334167,1.2279497385025024,"[0.5531131029129028, 0.5107756853103638, 0.4495875835418701]","[0.2990550100803375, 0.30267757177352905, 0.3262538015842438]","['5Ci6ty3KWBF5hAenWrWq8w_14.pth', '5Ci6ty3KWBF5hAenWrWq8w_20.pth']"
enchanted-candle-1198,jb06rlnf,"[pick,trombone,dock]",6873,Adam,67,10,68,0.8245614171028137,0.9905507564544678,"[0.5139890909194946, 0.4832371473312378, 0.46488431096076965]","[0.32613879442214966, 0.325152188539505, 0.3366897404193878]","['ZJybP5fKQRs3JxWaSQgLxi_9.pth', 'ZJybP5fKQRs3JxWaSQgLxi_68.pth']"
strange-spell-1197,5jz48dyf,"[cellular_telephone,bolete,chimpanzee]",9692,Adam,65,17,66,0.8900112509727478,0.7117182016372681,"[0.45248541235923767, 0.43385669589042664, 0.37590491771698]","[0.2862582802772522, 0.2793235182762146, 0.28132349252700806]","['gYGvPkA7VCPiTJzHQcxQCK_16.pth', 'gYGvPkA7VCPiTJzHQcxQCK_66.pth']"
occult-darkness-1196,1esha0qb,"[siamese_cat,maillot,schooner]",7989,SGD,19,12,20,0.8731241226196289,0.4548626244068146,"[0.5196188688278198, 0.5098538994789124, 0.5025248527526855]","[0.27525922656059265, 0.27190977334976196, 0.28704607486724854]","['FreABpoNLEZpKqLmAyh4r8_11.pth', 'FreABpoNLEZpKqLmAyh4r8_20.pth']"
shadowed-lantern-1195,20bm1gys,"[mashed_potato,sewing_machine,police_van]",3843,SGD,71,15,72,0.6828729510307312,2.481750965118408,"[0.5074440240859985, 0.46780043840408325, 0.41512489318847656]","[0.28978100419044495, 0.2876043915748596, 0.2971017360687256]","['kQpCTsEnBQLFgvEcYHra9s_14.pth', 'kQpCTsEnBQLFgvEcYHra9s_72.pth']"
ghastly-pitchfork-1194,k9fkolg5,"[ruddy_turnstone,black_and_gold_garden_spider,crash_helmet]",1021,Adam,45,14,46,0.9393103718757628,0.278910219669342,"[0.4873613715171814, 0.487201988697052, 0.43385010957717896]","[0.2658826410770416, 0.2591891586780548, 0.27883562445640564]","['T3MuFUKxxvpSeFWeMFoN9z_13.pth', 'T3MuFUKxxvpSeFWeMFoN9z_46.pth']"
crawly-disguise-1193,pwvswn1r,"[limpkin,mixing_bowl,planetarium]",3073,Adam,50,14,51,0.9129793643951416,0.355506956577301,"[0.4891282618045807, 0.48623621463775635, 0.43166863918304443]","[0.2659182846546173, 0.26377809047698975, 0.29085373878479004]","['KashEjiqdFEuEcB5bUEPut_13.pth', 'KashEjiqdFEuEcB5bUEPut_51.pth']"
eldritch-zombie-1192,o9xpx5kg,"[indigo_bunting,necklace,trombone]",7555,SGD,38,11,39,0.852838933467865,0.5137770175933838,"[0.5205751061439514, 0.5072612762451172, 0.4481750428676605]","[0.30117976665496826, 0.29560351371765137, 0.31214261054992676]","['iCcqX9YnfHpRAjqz3ZRqup_10.pth', 'iCcqX9YnfHpRAjqz3ZRqup_39.pth']"
strange-crypt-1191,cb19iydx,"[tow_truck,siamese_cat,police_van]",3943,SGD,40,19,41,0.8461538553237915,0.5795679688453674,"[0.46919238567352295, 0.45050352811813354, 0.4274229109287262]","[0.27709993720054626, 0.27408739924430847, 0.28355786204338074]","['M4iF8Jyv7rHXyfkx94VRDj_18.pth', 'M4iF8Jyv7rHXyfkx94VRDj_41.pth']"
endless-rift-1190,j47uknj9,"[missile,maillot,chambered_nautilus]",1585,SGD,48,11,49,0.5237258076667786,7.464115142822266,"[0.4822503924369812, 0.4799347519874573, 0.4732167422771454]","[0.3049708604812622, 0.29370221495628357, 0.30679890513420105]","['5mrfty7MCBVEssB6e5r66E_10.pth', '5mrfty7MCBVEssB6e5r66E_49.pth']"
